Pareto plot data n=3

F	CDF
1	1
2	0,560185185185185
3	0,361111111111111
4	0,250925925925926
5	0,193518518518518
6	0,146296296296296
7	0,112037037037037
8	0,0888888888888889
9	0,0731481481481482
10	0,062962962962963
11	0,0555555555555556
12	0,05
13	0,0388888888888889
14	0,0342592592592593
15	0,0277777777777778
16	0,0259259259259259
17	0,0240740740740741
19	0,0212962962962963
20	0,0194444444444444
21	0,0185185185185185
23	0,0175925925925926
25	0,0166666666666667
26	0,0148148148148148
27	0,0138888888888889
30	0,012962962962963
31	0,012037037037037
36	0,00925925925925926
37	0,00833333333333333
38	0,00740740740740741
43	0,00555555555555555
50	0,0037037037037037
63	0,00277777777777778
84	0,00185185185185185
113	0,000925925925925926
