F	CDF
1	0.999999999999998
2	0.530625943950325
3	0.389578788387311
4	0.314062762208422
5	0.265480785366671
6	0.228645745930524
7	0.199697935895283
8	0.176707501258599
9	0.160765229065278
10	0.146836717570061
11	0.136096660513508
12	0.127286457459305
13	0.11998657492868
14	0.11319013257258
15	0.10698103708676
16	0.100939754992449
17	0.0959892599429439
18	0.092381272025508
19	0.088185937237792
20	0.0839066957543216
21	0.0803826145326401
22	0.0774458801812388
23	0.0745091458298376
24	0.0725792918274882
25	0.0697264641718412
26	0.066034569558651
27	0.0641047155563016
28	0.0619231414666893
29	0.0600771941600942
30	0.0583151535492534
31	0.0560496727638868
32	0.0546232589360633
33	0.0523577781506967
34	0.0510152710186275
35	0.05009229736533
36	0.0493371371035411
37	0.0483302567544892
38	0.047491189796946
39	0.0467360295351571
40	0.0454774290988423
41	0.0440510152710188
42	0.042792414834704
43	0.0415338143983892
44	0.0405269340493373
45	0.0397717737875484
46	0.0391005202215138
47	0.0381775465682163
48	0.037338479610673
49	0.0368350394361471
50	0.0355764389998322
51	0.0351569055210606
52	0.034737372042289
53	0.0335626783017284
54	0.0330592381272025
55	0.0321362644739049
56	0.0318006376908876
57	0.0312132908206074
58	0.0307937573418357
59	0.0302903171673098
60	0.0297029702970296
61	0.0289478100352407
62	0.0284443698607148
63	0.0281087430776975
64	0.0275213962074172
65	0.0270179560328913
66	0.0264306091626111
67	0.0258432622923308
68	0.0255076355093135
69	0.0250041953347876
70	0.0247524752475246
71	0.0241651283772444
72	0.0239134082899814
73	0.0235777815069642
74	0.022738714549421
75	0.022486994462158
76	0.0223191810706494
77	0.0221513676791407
78	0.0215640208088605
79	0.0212283940258432
80	0.0210605806343345
81	0.0208088605470716
82	0.0204732337640543
83	0.0200537002852827
84	0.0197180735022654
85	0.0193824467192481
86	0.0192985400234938
87	0.0192146333277395
88	0.0189629132404765
89	0.0187950998489679
90	0.0186272864574592
91	0.0183755663701963
92	0.0179560328914247
93	0.0178721261956703
94	0.017788219499916
95	0.0173686860211444
96	0.0169491525423728
97	0.0168652458466185
98	0.0166974324551099
99	0.0161939922805839
100	0.0160261788890753
101	0.0158583654975666
102	0.015690552106058
103	0.015438832018795
104	0.0153549253230407
105	0.0152710186272864
106	0.0150192985400234
107	0.0148514851485148
110	0.0145997650612518
111	0.0142641382782346
113	0.0140963248867259
116	0.0139285114952173
117	0.0138446047994629
118	0.0135928847122
120	0.0132572579291827
121	0.0131733512334284
122	0.0130055378419197
123	0.0127538177546568
124	0.0126699110589025
125	0.0125860043631481
126	0.0124181909716395
127	0.0122503775801309
128	0.0120825641886222
131	0.0118308441013593
132	0.0116630307098506
134	0.0114113106225877
135	0.0113274039268333
137	0.011243497231079
138	0.0111595905353247
139	0.0110756838395704
140	0.0109078704480617
141	0.0108239637523074
144	0.0106561503607988
147	0.0105722436650444
148	0.0104044302735358
149	0.0102366168820272
150	0.0100688034905185
152	0.00998489679476421
154	0.00990099009900989
155	0.00981708340325557
156	0.00973317670750124
158	0.00964927001174692
159	0.0095653633159926
162	0.00948145662023828
163	0.00931364322872964
165	0.009145829837221
169	0.00906192314146668
175	0.00889410974995804
178	0.0087262963584494
180	0.00855848296694076
181	0.00847457627118644
182	0.0083067628796778
184	0.00822285618392348
186	0.00813894948816916
187	0.00805504279241484
188	0.00797113609666052
189	0.0078872294009062
192	0.00771941600939755
199	0.00763550931364323
200	0.00755160261788891
203	0.00746769592213459
206	0.00738378922638027
212	0.00729988253062595
213	0.00713206913911731
217	0.00704816244336298
220	0.00696425574760866
221	0.00688034905185434
223	0.00679644235610002
230	0.00662862896459138
232	0.00654472226883706
233	0.00646081557308274
238	0.00637690887732841
240	0.00629300218157409
242	0.00612518879006545
243	0.00604128209431113
244	0.00595737539855681
245	0.00587346870280249
255	0.00578956200704817
265	0.00570565531129384
268	0.0055378419197852
269	0.00545393522403088
270	0.00537002852827656
273	0.00528612183252224
278	0.00520221513676792
281	0.0051183084410136
282	0.00503440174525927
289	0.00495049504950495
291	0.00486658835375063
293	0.00478268165799631
301	0.00469877496224199
303	0.00461486826648767
327	0.00453096157073335
332	0.00444705487497903
348	0.0043631481792247
355	0.00419533478771606
365	0.00411142809196174
369	0.00402752139620742
373	0.0039436147004531
382	0.00385970800469878
397	0.00377580130894446
408	0.00369189461319013
409	0.00360798791743581
410	0.00352408122168149
412	0.00344017452592717
414	0.00335626783017285
416	0.00318845443866421
436	0.00310454774290989
444	0.00302064104715556
463	0.00293673435140124
481	0.00285282765564692
483	0.0027689209598926
507	0.00268501426413828
539	0.00260110756838396
544	0.00251720087262964
556	0.00243329417687532
563	0.00234938748112099
564	0.00226548078536667
574	0.00218157408961235
585	0.00209766739385803
604	0.00201376069810371
625	0.00192985400234939
747	0.00184594730659507
748	0.00176204061084075
771	0.00167813391508642
805	0.0015942272193321
852	0.00151032052357778
854	0.00142641382782346
928	0.00134250713206914
945	0.00125860043631482
964	0.0011746937405605
1022	0.00109078704480618
1047	0.00100688034905185
1094	0.000922973653297533
1164	0.000839066957543212
1426	0.000755160261788891
2292	0.00067125356603457
2366	0.000587346870280248
2696	0.000503440174525927
2701	0.000419533478771606
3837	0.000335626783017285
3905	0.000251720087262964
4913	0.000167813391508642
9967	8.39066957543212E-05
