L	V	dV
1000	463	0
2000	767	0
3000	1020	0
4000	1268	0
5000	1452	0
6000	1588	0
7000	1760	0
8000	1874	0
9000	2035	0
10000	2185	0
11000	2329	0
12000	2436	0
13000	2542	0
14000	2647	0
15000	2753	0
16000	2849	0
17000	2942	0
18000	3022	0
19000	3122	0
20000	3225	0
21000	3351	0
22000	3420	0
23000	3492	0
24000	3556	0
25000	3614	0
26000	3709	0
27000	3786	0
28000	3849	0
29000	3937	0
30000	3997	0
31000	4081	0
32000	4139	0
33000	4198	0
34000	4253	0
