L	V	dV
1000	460	0
2000	685	0
3000	854	0
4000	1002	0
5000	1229	0
6000	1373	0
7000	1478	0
8000	1584	0
9000	1639	0
10000	1709	0
11000	1871	0
12000	2005	0
13000	2137	0
14000	2215	0
15000	2252	0
16000	2340	0
17000	2545	0
18000	2628	0
19000	2729	0
20000	2777	0
21000	2936	0
22000	3223	0
23000	3316	0
24000	3399	0
