Word Ngram Statistic for 4-grams


RANK	NGramm	F
1	mrs clandon mrs clandon	9
2	i beg your pardon	9
3	the end of the	9
4	you never can tell	8
5	goes into the hotel	8
6	in the middle of	7
7	the middle of the	7
8	my knowledge of human	7
9	end of the table	7
10	knowledge of human nature	7
11	he goes into the	6
12	he goes to the	6
13	to the end of	6
14	the luncheon table and	5
15	mr valentine you are	5
16	mrs clandon thank you	5
17	and goes to the	5
18	side of the room	4
19	table and sits down	4
20	the duel of sex	4
21	he sits down again	4
22	he turns to go	4
23	look at one another	4
24	the other side of	4
25	her back on him	4
26	sir you never can	4
27	on the other side	4
28	what do you mean	4
29	she looks at him	4
30	back in his chair	4
31	to the service table	4
32	himself back in his	4
33	goes to the hearth	4
34	sits down on the	4
35	to the hearth and	4
36	the service table and	4
37	with her back to	4
38	while grass grows or	3
39	grass grows or water	3
40	to the window and	3
41	never while grass grows	3
42	grows or water runs	3
43	a five shilling dentist	3
44	turns her back on	3
45	i dont think we	3
46	the arms of the	3
47	down to the beach	3
48	i dont want to	3
49	sit down sit down	3
50	mrs clandon i have	3
51	to lunch with us	3
52	oh dont say that	3
53	him for a moment	3
54	to the luncheon table	3
55	so that he can	3
56	to valentine who is	3
57	william waiter yes sir	3
58	from the luncheon table	3
59	to gloria miss clandon	3
60	the corner of the	3
61	let me tell you	3
62	had no right to	3
63	i want you to	3
64	if youll allow me	3
65	of the garden seat	3
66	the centre of the	3
67	round the table to	3
68	she goes into the	3
69	at the marine hotel	3
70	mrs clandon remonstrating phil	3
71	mrs clandon with quiet	3
72	makes for the door	3
73	looks at him with	3
74	she turns away from	3
75	i assure you sir	3
76	the side of the	3
77	sir he goes into	3
78	middle of the room	3
79	the air of a	3
80	mr valentine it is	3
81	with his back to	3
82	mrs clandon and gloria	3
83	and stands with her	3
84	sir i assure you	3
85	waiter not at all	3
86	in spite of himself	3
87	you will allow me	3
88	me to believe that	3
89	the young lady and	3
90	have a right to	3
91	mrs clandon rising and	3
92	if you will allow	3
93	of the table where	3
94	that i am not	3
95	the old fashioned man	3
96	you wish me to	3
97	not at all sir	3
98	crampton what dy mean	3
99	to mrs clandon and	3
100	i am your father	2
101	you expect me to	2
102	i didnt respect your	2
103	what is the matter	2
104	if you will excuse	2
105	you will excuse my	2
106	that i am your	2
107	she is interrupted by	2
108	am always willing to	2
109	the table and sits	2
110	never never never while	2
111	from the table and	2
112	in the world gloria	2
113	is interrupted by the	2
114	never never while grass	2
115	sir not at all	2
116	been here six weeks	2
117	back on him and	2
118	been out in a	2
119	out in a boat	2
120	goes to the window	2
121	sits down beside her	2
122	sir im sure sir	2
123	i am always willing	2
124	for instance for instance	2
125	the higher education of	2
126	i am not in	2
127	you think youre not	2
128	he sits down in	2
129	higher education of women	2
130	sits down a little	2
131	seats himself on the	2
132	you sir crampton sits	2
133	beg pardon sir but	2
134	throws himself back in	2
135	do you know that	2
136	that my past has	2
137	my past has been	2
138	get the overcoat off	2
139	a great deal of	2
140	with an air of	2
141	waiter yes sir he	2
142	you the parlor maid	2
143	he seats himself on	2
144	do you understand that	2
145	sir crampton sits down	2
146	i might as well	2
147	a great horror of	2
148	on the table when	2
149	the waiter who is	2
150	and puts it on	2
151	said it would be	2
152	you said it would	2
153	takes the jug from	2
154	that he is not	2
155	thank you mrs clandon	2
156	dolly look at one	2
157	and dolly look at	2
158	the jug from her	2
159	great horror of anything	2
160	mr crampton we are	2
161	coming to lunch with	2
162	talk to me like	2
163	to me like that	2
164	is coming to lunch	2
165	so much the worse	2
166	out of the room	2
167	like that mrs clandon	2
168	beg pardon maam im	2
169	put up with them	2
170	to put up with	2
171	making a wry face	2
172	one of them have	2
173	crampton do you know	2
174	i have an idea	2
175	would one of them	2
176	there is no sign	2
177	mrs clandon you know	2
178	covers her face with	2
179	were too young to	2
180	moment of courage he	2
181	is no sign of	2
182	you were too young	2
183	in the centre of	2
184	i hope not valentine	2
185	to do it he	2
186	much the worse for	2
187	will you excuse me	2
188	that would have been	2
189	nods at him to	2
190	he nods at him	2
191	theres a pretence that	2
192	on the iron table	2
193	waiter yes sir philip	2
194	i am sorry i	2
195	and looks at the	2
196	for eighteen years he	2
197	in spite of the	2
198	do you think it	2
199	tell sir you never	2
200	five shillings the young	2
201	she is about to	2
202	here six weeks and	2
203	you must not be	2
204	never can tell sir	2
205	can tell sir you	2
206	is about to speak	2
207	a little against a	2
208	valentine my good sir	2
209	to the iron table	2
210	its a little against	2
211	mrs clandon touching her	2
212	you are not going	2
213	are not going to	2
214	a quarter to one	2
215	the effect on the	2
216	the cause of humanity	2
217	good manners of their	2
218	must put on a	2
219	table with a spring	2
220	the iron table and	2
221	are you quite sure	2
222	the young lady oh	2
223	mrs clandon excuse me	2
224	for the old fashioned	2
225	so on mrs clandon	2
226	do you mean valentine	2
227	you mr valentine it	2
228	and so on mrs	2
229	at mrs clandon then	2
230	mrs clandon then at	2
231	and throws his hat	2
232	one has any right	2
233	mrs clandon your husband	2
234	to the ottoman and	2
235	mrs clandon my dear	2
236	mrs clandon this is	2
237	oh mrs clandon mrs	2
238	i know what youre	2
239	she sits down with	2
240	to mrs clandon i	2
241	know what youre going	2
242	sits on the ottoman	2
243	borrow five shillings from	2
244	what youre going to	2
245	youre going to say	2
246	mrs clandon i think	2
247	mr valentine but i	2
248	you mr valentine but	2
249	intention of getting married	2
250	of it mrs clandon	2
251	valentine i am not	2
252	mr valentine i am	2
253	to the young waiter	2
254	getting on very nicely	2
255	lager for you sir	2
256	yes sir certainly sir	2
257	to tell you that	2
258	i think i have	2
259	her for a moment	2
260	i had better go	2
261	sir if you will	2
262	centre of the room	2
263	pump and cylinder beside	2
264	gas pump and cylinder	2
265	of the room and	2
266	are getting on very	2
267	seltzer and irish sir	2
268	for you sir to	2
269	garden through the window	2
270	as well as she	2
271	i do the things	2
