Word Ngram Statistic for 2-grams


RANK	NGramm	F
1	mrs clandon	268
2	of the	131
3	to the	122
4	on the	95
5	in the	74
6	mr valentine	73
7	i am	65
8	with a	65
9	i have	61
10	do you	60
11	at the	55
12	to be	55
13	thank you	50
14	you are	47
15	the young	44
16	in a	44
17	the waiter	44
18	the table	43
19	he is	42
20	with the	41
21	from the	39
22	into the	38
23	for a	37
24	the window	37
25	young lady	37
26	mr crampton	37
27	if you	36
28	it is	35
29	i dont	35
30	a little	35
31	sits down	34
32	that i	31
33	you have	31
34	to you	30
35	to me	30
36	yes sir	30
37	is a	29
38	at him	29
39	as if	28
40	the door	28
41	miss clandon	28
42	that you	27
43	and the	26
44	the hotel	26
45	i think	26
46	on his	25
47	the room	25
48	for the	25
49	you were	25
50	are you	25
51	mr mccomas	25
52	of a	25
53	i was	25
54	my dear	25
55	you to	24
56	have a	24
57	of his	24
58	a moment	24
59	to her	24
60	table and	24
61	at her	23
62	with her	23
63	you think	23
64	you sir	23
65	in his	23
66	at all	23
67	clandon i	22
68	as a	22
69	your father	22
70	but i	22
71	he has	22
72	by the	22
73	he goes	22
74	and a	22
75	me to	22
76	we are	22
77	there is	21
78	a man	21
79	the steps	21
80	valentine i	21
81	him to	21
82	will be	20
83	the garden	20
84	for you	20
85	you will	20
86	of course	20
87	to him	20
88	to valentine	20
89	him with	20
90	want to	20
91	this is	20
92	as he	20
93	and i	19
94	you know	19
95	is the	19
96	the dentist	19
97	tell you	19
98	sir he	19
99	valentine valentine	19
100	out of	19
101	going to	19
102	with his	19
103	no no	18
104	that is	18
105	that he	18
106	he takes	18
107	let me	18
108	you dont	18
109	is not	18
110	look at	18
111	i hope	18
112	like a	18
113	you mr	18
114	end of	18
115	of you	18
116	goes to	18
117	the old	17
118	excuse me	17
119	i shall	17
120	up the	17
121	the chair	17
122	if i	17
123	sit down	17
124	parlor maid	17
125	what is	17
126	of it	17
127	she is	17
128	mr bohun	17
129	the parlor	17
130	her and	17
131	what i	16
132	away from	16
133	the gentleman	16
134	to mrs	16
135	of your	16
136	let us	16
137	i know	16
138	to say	16
139	is it	16
140	have you	16
141	to take	15
142	i cant	15
143	to dolly	15
144	what you	15
145	gloria with	15
146	looks at	15
147	to have	15
148	have been	15
149	one another	15
150	are not	15
151	him and	15
152	the children	15
153	to his	15
154	not at	14
155	i should	14
156	to gloria	14
157	such a	14
158	as she	14
159	oh yes	14
160	it to	14
161	by a	14
162	five shillings	14
163	back to	14
164	you see	14
165	i suppose	14
166	and goes	14
167	the other	14
168	for her	14
169	with an	14
170	you valentine	14
171	side of	14
172	the end	14
173	not to	14
174	one of	14
175	twentieth century	14
176	his hand	14
177	the same	14
178	with you	13
179	to put	13
180	right to	13
181	the most	13
182	sir i	13
183	i will	13
184	through the	13
185	i had	13
186	no i	13
187	and he	13
188	i do	13
189	crampton i	13
190	did you	13
191	say that	13
192	has been	13
193	to see	13
194	to crampton	13
195	down the	13
196	my own	13
197	to lunch	13
198	and sits	13
199	you want	13
200	all the	13
201	turns to	13
202	the ottoman	13
203	looking at	12
204	we have	12
205	who has	12
206	when you	12
207	can you	12
208	from her	12
209	you do	12
210	on a	12
211	a good	12
212	down on	12
213	crampton crampton	12
214	his hat	12
215	sir crampton	12
216	it was	12
217	to speak	12
218	in this	12
219	is that	12
220	will you	12
221	at his	12
222	as you	12
223	who is	12
224	dolly and	12
225	takes the	12
