Word Ngram Statistic for 3-grams


RANK	NGramm	F
1	the young lady	27
2	for a moment	21
3	the parlor maid	17
4	mrs clandon i	17
5	to mrs clandon	16
6	goes to the	15
7	not at all	14
8	into the hotel	13
9	of the table	13
10	you mr valentine	12
11	mr valentine valentine	12
12	end of the	12
13	of the room	11
14	side of the	11
15	i am not	11
16	goes into the	11
17	the end of	11
18	waiter yes sir	11
19	clandon mrs clandon	10
20	he sits down	10
21	in the middle	10
22	through the window	10
23	you mrs clandon	10
24	on the table	10
25	mrs clandon and	10
26	what do you	10
27	i beg your	9
28	beg your pardon	9
29	and sits down	9
30	mrs clandon mrs	9
31	the garden seat	9
32	she sits down	9
33	do you think	9
34	sits down again	8
35	the table and	8
36	maam mrs clandon	8
37	the operating chair	8
38	never can tell	8
39	the middle of	8
40	you never can	8
41	if you will	8
42	in spite of	8
43	of human nature	8
44	the luncheon table	8
45	thank you sir	8
46	back to the	8
47	on the ottoman	8
48	to the window	8
49	as well as	7
50	i dont want	7
51	sir he goes	7
52	i dont know	7
53	he takes the	7
54	middle of the	7
55	mr valentine i	7
56	i want to	7
57	that mrs clandon	7
58	do you know	7
59	mrs clandon the	7
60	my knowledge of	7
61	knowledge of human	7
62	me mrs clandon	7
63	that you are	7
64	is about to	7
65	mrs clandon remonstrating	7
66	you want to	7
67	for you sir	6
68	on his right	6
69	at the window	6
70	its all over	6
71	i tell you	6
72	mrs clandon with	6
73	that i am	6
74	the other side	6
75	the service table	6
76	now look here	6
77	he turns to	6
78	down on the	6
79	such a thing	6
80	and goes to	6
81	i am afraid	6
82	valentine you are	6
83	i have not	6
84	you are not	6
85	mrs clandon you	6
86	he goes into	6
87	the young gentleman	6
88	of course not	6
89	the window and	6
90	to the end	6
91	i am a	6
92	there is no	6
93	away to the	6
94	mr mccomas mccomas	6
95	at one another	6
96	she turns away	6
97	i assure you	6
98	looks at him	6
99	into the room	6
100	he goes to	6
101	your father gloria	6
102	i am sorry	6
103	mr valentine you	6
104	half past one	6
105	what is the	5
106	the iron table	5
107	to the beach	5
108	down the steps	5
109	to lunch with	5
110	at him with	5
111	to valentine who	5
112	to speak to	5
113	gloria with a	5
114	it mrs clandon	5
115	on his left	5
116	i think you	5
117	i will not	5
118	that he is	5
119	a good deal	5
120	phil and dolly	5
121	thank you he	5
122	a man of	5
123	to him with	5
124	mrs clandon yes	5
125	to the waiter	5
126	that is the	5
