F	PDF
1	0,161184210526316
2	0,0789473684210526
3	0,0756578947368421
4	0,0592105263157895
5	0,0460526315789474
6	0,0328947368421053
7	0,0394736842105263
8	0,0197368421052632
9	0,0164473684210526
10	0,0263157894736842
11	0,0164473684210526
12	0,0361842105263158
13	0,0263157894736842
14	0,0230263157894737
15	0,0164473684210526
16	0,0394736842105263
17	0,0131578947368421
18	0,00986842105263158
19	0,00986842105263158
20	0,00657894736842105
21	0,00328947368421053
22	0,0296052631578947
23	0,00657894736842105
24	0,0131578947368421
25	0,00986842105263158
26	0,00328947368421053
27	0,00328947368421053
28	0,00986842105263158
31	0,00328947368421053
32	0,00657894736842105
33	0,00657894736842105
34	0,00328947368421053
35	0,00328947368421053
36	0,00328947368421053
37	0,00328947368421053
38	0,00328947368421053
40	0,00328947368421053
41	0,00328947368421053
42	0,00328947368421053
45	0,00328947368421053
46	0,00986842105263158
50	0,00657894736842105
51	0,00657894736842105
52	0,00657894736842105
53	0,00657894736842105
55	0,00986842105263158
56	0,00328947368421053
57	0,00328947368421053
58	0,00328947368421053
61	0,00328947368421053
62	0,00328947368421053
63	0,00328947368421053
65	0,00328947368421053
67	0,00328947368421053
68	0,00328947368421053
69	0,00328947368421053
70	0,00657894736842105
81	0,00328947368421053
85	0,00328947368421053
86	0,00657894736842105
91	0,00328947368421053
96	0,00328947368421053
109	0,00328947368421053
133	0,00328947368421053
136	0,00328947368421053
139	0,00328947368421053
165	0,00328947368421053
