F	PDF
141	0,000167813391508642
144	8,39066957543212E-05
147	0,000167813391508642
148	0,000167813391508642
149	0,000167813391508642
150	8,39066957543212E-05
152	8,39066957543212E-05
154	8,39066957543212E-05
155	8,39066957543212E-05
156	8,39066957543212E-05
158	8,39066957543212E-05
159	8,39066957543212E-05
162	0,000167813391508642
163	0,000167813391508642
165	8,39066957543212E-05
169	0,000167813391508642
175	0,000167813391508642
178	0,000167813391508642
180	8,39066957543212E-05
181	0,000167813391508642
182	8,39066957543212E-05
184	8,39066957543212E-05
186	8,39066957543212E-05
187	8,39066957543212E-05
188	8,39066957543212E-05
189	0,000167813391508642
192	8,39066957543212E-05
199	8,39066957543212E-05
200	8,39066957543212E-05
203	8,39066957543212E-05
206	8,39066957543212E-05
212	0,000167813391508642
213	8,39066957543212E-05
217	8,39066957543212E-05
220	8,39066957543212E-05
221	8,39066957543212E-05
223	0,000167813391508642
230	8,39066957543212E-05
232	8,39066957543212E-05
233	8,39066957543212E-05
238	8,39066957543212E-05
240	0,000167813391508642
242	8,39066957543212E-05
243	8,39066957543212E-05
244	8,39066957543212E-05
245	8,39066957543212E-05
255	8,39066957543212E-05
265	0,000167813391508642
268	8,39066957543212E-05
269	8,39066957543212E-05
270	8,39066957543212E-05
273	8,39066957543212E-05
278	8,39066957543212E-05
281	8,39066957543212E-05
282	8,39066957543212E-05
289	8,39066957543212E-05
291	8,39066957543212E-05
293	8,39066957543212E-05
301	8,39066957543212E-05
303	8,39066957543212E-05
327	8,39066957543212E-05
332	8,39066957543212E-05
348	0,000167813391508642
355	8,39066957543212E-05
365	8,39066957543212E-05
369	8,39066957543212E-05
373	8,39066957543212E-05
382	8,39066957543212E-05
397	8,39066957543212E-05
408	8,39066957543212E-05
409	8,39066957543212E-05
410	8,39066957543212E-05
412	8,39066957543212E-05
414	0,000167813391508642
416	8,39066957543212E-05
436	8,39066957543212E-05
444	8,39066957543212E-05
463	8,39066957543212E-05
481	8,39066957543212E-05
483	8,39066957543212E-05
507	8,39066957543212E-05
539	8,39066957543212E-05
544	8,39066957543212E-05
556	8,39066957543212E-05
563	8,39066957543212E-05
564	8,39066957543212E-05
574	8,39066957543212E-05
585	8,39066957543212E-05
604	8,39066957543212E-05
625	8,39066957543212E-05
747	8,39066957543212E-05
748	8,39066957543212E-05
771	8,39066957543212E-05
805	8,39066957543212E-05
852	8,39066957543212E-05
854	8,39066957543212E-05
928	8,39066957543212E-05
945	8,39066957543212E-05
964	8,39066957543212E-05
1022	8,39066957543212E-05
1047	8,39066957543212E-05
1094	8,39066957543212E-05
1164	8,39066957543212E-05
1426	8,39066957543212E-05
2292	8,39066957543212E-05
2366	8,39066957543212E-05
2696	8,39066957543212E-05
2701	8,39066957543212E-05
3837	8,39066957543212E-05
3905	8,39066957543212E-05
4913	8,39066957543212E-05
9967	8,39066957543212E-05
