F	PDF
1	0,469374056049673
2	0,141047155563014
3	0,0755160261788891
4	0,048581976841752
5	0,036835039436147
6	0,0289478100352408
7	0,022990434636684
8	0,015942272193321
9	0,0139285114952173
10	0,0107400570565531
11	0,00881020305420373
12	0,00729988253062594
13	0,00679644235610002
14	0,00620909548581977
15	0,00604128209431113
16	0,00495049504950495
17	0,00360798791743581
18	0,00419533478771606
19	0,00427924148347038
20	0,00352408122168149
21	0,00293673435140124
22	0,00293673435140124
23	0,00192985400234939
24	0,00285282765564692
25	0,00369189461319013
26	0,00192985400234939
27	0,00218157408961235
28	0,00184594730659507
29	0,00176204061084075
30	0,00226548078536667
31	0,00142641382782346
32	0,00226548078536667
33	0,00134250713206914
34	0,000922973653297533
35	0,000755160261788891
36	0,00100688034905185
37	0,000839066957543212
38	0,000755160261788891
39	0,00125860043631482
40	0,00142641382782346
41	0,00125860043631482
42	0,00125860043631482
43	0,00100688034905185
44	0,000755160261788891
45	0,00067125356603457
46	0,000922973653297533
47	0,000839066957543212
48	0,000503440174525927
49	0,00125860043631482
50	0,000419533478771606
51	0,000419533478771606
52	0,0011746937405605
53	0,000503440174525927
54	0,000922973653297533
55	0,000335626783017285
56	0,000587346870280248
57	0,000419533478771606
58	0,000503440174525927
59	0,000587346870280248
60	0,000755160261788891
61	0,000503440174525927
62	0,000335626783017285
63	0,000587346870280248
64	0,000503440174525927
65	0,000587346870280248
66	0,000587346870280248
67	0,000335626783017285
68	0,000503440174525927
69	0,000251720087262964
70	0,000587346870280248
71	0,000251720087262964
72	0,000335626783017285
73	0,000839066957543212
74	0,000251720087262964
75	0,000167813391508642
76	0,000167813391508642
77	0,000587346870280248
78	0,000335626783017285
79	0,000167813391508642
80	0,000251720087262964
81	0,000335626783017285
82	0,000419533478771606
83	0,000335626783017285
84	0,000335626783017285
85	8,39066957543212E-05
86	8,39066957543212E-05
87	0,000251720087262964
88	0,000167813391508642
89	0,000167813391508642
90	0,000251720087262964
91	0,000419533478771606
92	8,39066957543212E-05
93	8,39066957543212E-05
94	0,000419533478771606
95	0,000419533478771606
96	8,39066957543212E-05
97	0,000167813391508642
98	0,000503440174525927
99	0,000167813391508642
100	0,000167813391508642
101	0,000167813391508642
102	0,000251720087262964
103	8,39066957543212E-05
104	8,39066957543212E-05
105	0,000251720087262964
106	0,000167813391508642
107	0,000251720087262964
110	0,000335626783017285
111	0,000167813391508642
113	0,000167813391508642
116	8,39066957543212E-05
117	0,000251720087262964
118	0,000335626783017285
120	8,39066957543212E-05
121	0,000167813391508642
122	0,000251720087262964
123	8,39066957543212E-05
124	8,39066957543212E-05
125	0,000167813391508642
126	0,000167813391508642
127	0,000167813391508642
128	0,000251720087262964
131	0,000167813391508642
132	0,000251720087262964
134	8,39066957543212E-05
135	8,39066957543212E-05
137	8,39066957543212E-05
138	8,39066957543212E-05
139	0,000167813391508642
140	8,39066957543212E-05
