L	V	dV
100	80	0
200	79	0
300	76	0
400	74	0
500	78	0
600	81	0
700	83	0
800	80	0
900	85	0
1000	82	0
1100	80	0
1200	80	0
1300	84	0
1400	84	0
1500	68	0
1600	76	0
1700	93	0
1800	83	0
1900	85	0
2000	86	0
2100	87	0
2200	85	0
2300	80	0
2400	86	0
2500	81	0
2600	80	0
2700	74	0
2800	85	0
2900	78	0
3000	76	0
3100	86	0
3200	83	0
3300	81	0
3400	78	0
