L	V	dV
10000	2137,46666666667	197,675783938132
20000	3349,85714285714	219,226841794672
30000	4348,61538461538	243,276208473961
40000	5216	266,43542056816
50000	5984,18181818182	259,49770297875
60000	6694	232,35834394314
70000	7352,55555555556	171,323677491275
80000	7998,5	210,070821391263
90000	8576,57142857143	206,822806937193
100000	9152,83333333333	195,911048409426
110000	9696	130,483715459056
120000	10246	119,197315406011
130000	10766	87,6622305595268
140000	11296	8
150000	11896	0
