L	V	dV
100	80	0
200	145	0
300	205	0
400	257	0
500	302	0
600	346	0
700	394	0
800	444	0
900	498	0
1000	548	0
1100	591	0
1200	636	0
1300	678	0
1400	726	0
1500	769	0
1600	810	0
1700	873	0
1800	922	0
1900	974	0
2000	1019	0
2100	1058	0
2200	1101	0
2300	1139	0
2400	1185	0
2500	1226	0
2600	1265	0
2700	1307	0
2800	1342	0
2900	1377	0
3000	1409	0
3100	1444	0
3200	1481	0
3300	1510	0
3400	1546	0
